model,class,auc,f1,precision,recall
custom_cnn,Atelectasis,0.4811932555123216,0.0,0.0,0.0
custom_cnn,Cardiomegaly,0.5855069960269477,0.0,0.0,0.0
custom_cnn,Effusion,0.577679373636247,0.23803967327887982,0.13581890812250333,0.9622641509433962
custom_cnn,Infiltration,0.6169540229885058,0.09230769230769231,0.18,0.06206896551724138
custom_cnn,Mass,0.5280274656679151,0.09080590238365494,0.04756242568370987,1.0
custom_cnn,Nodule,0.5233060312732689,0.118491921005386,0.06521739130434782,0.6470588235294118
custom_cnn,Pneumonia,0.6363636363636364,0.0,0.0,0.0
custom_cnn,Pneumothorax,0.5618357487922706,0.0,0.0,0.0
custom_cnn,Consolidation,0.5454545454545454,0.11688311688311688,0.0645933014354067,0.6136363636363636
custom_cnn,Edema,0.6535931790499391,0.0,0.0,0.0
custom_cnn,Emphysema,0.4575979575979575,0.0,0.0,0.0
custom_cnn,Fibrosis,0.7133356365520815,0.0,0.0,0.0
custom_cnn,Pleural_Thickening,0.4569114569114569,0.06157635467980296,0.03184713375796178,0.9259259259259259
custom_cnn,Hernia,0.01904761904761909,0.0,0.0,0.0
custom_cnn,MEAN,0.5254862089196223,0.05129319003846664,0.0375027971645664,0.3007824449680242
densenet,Atelectasis,0.6273485269594219,0.1945945945945946,0.12,0.5142857142857142
densenet,Cardiomegaly,0.4254620832613577,0.03305785123966942,0.018691588785046728,0.14285714285714285
densenet,Effusion,0.7033500192529843,0.29328621908127206,0.18043478260869567,0.7830188679245284
densenet,Infiltration,0.5698374950455807,0.2942430703624733,0.21296296296296297,0.47586206896551725
densenet,Mass,0.60749063670412,0.11428571428571428,0.06666666666666667,0.4
densenet,Nodule,0.542764954082899,0.1237785016286645,0.07421875,0.37254901960784315
densenet,Pneumonia,0.6239868565169769,0.0,0.0,0.0
densenet,Pneumothorax,0.5965148378191856,0.09620253164556962,0.052924791086350974,0.5277777777777778
densenet,Consolidation,0.6596327135850347,0.15789473684210525,0.10273972602739725,0.3409090909090909
densenet,Edema,0.7191230207064556,0.10695187165775401,0.059880239520958084,0.5
densenet,Emphysema,0.6388611388611388,0.06666666666666667,0.04081632653061224,0.18181818181818182
densenet,Fibrosis,0.6425980307479703,0.07894736842105263,0.04838709677419355,0.21428571428571427
densenet,Pleural_Thickening,0.5522340522340522,0.03076923076923077,0.02631578947368421,0.037037037037037035
densenet,Hernia,0.39880952380952384,0.0,0.0,0.0
densenet,MEAN,0.5934295635419072,0.11361988265676908,0.07171705145975489,0.3207429011048962
vit,Atelectasis,0.6587363350009264,0.2033898305084746,0.12244897959183673,0.6
vit,Cardiomegaly,0.4825531179823804,0.024844720496894408,0.012987012987012988,0.2857142857142857
vit,Effusion,0.7564112437427801,0.3595505617977528,0.2359882005899705,0.7547169811320755
vit,Infiltration,0.647661514070551,0.3468208092485549,0.24064171122994651,0.6206896551724138
vit,Mass,0.6596441947565542,0.1339712918660287,0.07407407407407407,0.7
vit,Nodule,0.6021841648051626,0.11884057971014493,0.06416275430359937,0.803921568627451
vit,Pneumonia,0.5805038335158818,0.023668639053254437,0.012232415902140673,0.36363636363636365
vit,Pneumothorax,0.7018288474810214,0.12063492063492064,0.06810035842293907,0.5277777777777778
vit,Consolidation,0.7193737880688947,0.1658291457286432,0.09322033898305085,0.75
vit,Edema,0.876857490864799,0.07224334600760456,0.037549407114624504,0.95
vit,Emphysema,0.6956931956931957,0.1016949152542373,0.0625,0.2727272727272727
vit,Fibrosis,0.6034721022629125,0.0,0.0,0.0
vit,Pleural_Thickening,0.6933296933296933,0.0,0.0,0.0
vit,Hernia,0.5321428571428571,0.0,0.0,0.0
vit,MEAN,0.6578851699084006,0.11939205430760788,0.07313608951422823,0.47351313605626
ensemble,Atelectasis,0.6722623679822123,0.20596205962059622,0.12709030100334448,0.5428571428571428
ensemble,Cardiomegaly,0.4466229055104508,0.021052631578947368,0.012345679012345678,0.07142857142857142
ensemble,Effusion,0.7593505326658966,0.35555555555555557,0.2262210796915167,0.8301886792452831
ensemble,Infiltration,0.6542905271502181,0.3488943488943489,0.27099236641221375,0.4896551724137931
ensemble,Mass,0.6655118601747816,0.13445378151260504,0.07570977917981073,0.6
ensemble,Nodule,0.5969967733929015,0.1317365269461078,0.07333333333333333,0.6470588235294118
ensemble,Pneumonia,0.6156626506024097,0.0,0.0,0.0
ensemble,Pneumothorax,0.686887508626639,0.11726384364820847,0.06642066420664207,0.5
ensemble,Consolidation,0.7214554579673776,0.15789473684210525,0.09060402684563758,0.6136363636363636
ensemble,Edema,0.8264311814859926,0.10112359550561797,0.05357142857142857,0.9
ensemble,Emphysema,0.6642246642246643,0.058823529411764705,0.043478260869565216,0.09090909090909091
ensemble,Fibrosis,0.6794783209535326,0.0,0.0,0.0
ensemble,Pleural_Thickening,0.6396851396851397,0.0,0.0,0.0
ensemble,Hernia,0.31547619047619047,0.0,0.0,0.0
ensemble,MEAN,0.6388811486356004,0.11662575782256124,0.07426906565184557,0.37755241742997553
